Full Name,Draft Value,Initial State,Initial Team Color,Initial Ideology,Draft Year,Historic Retirement,Death Year,First Year Command,First Year Legislative,First Year Governing,First Year Judicial,First Year Military,First Year Administrative,Flip Date Year 1,Flip Date Year 2,Flip Date Year 3
Napoleon Bonaparte,115.5,LA,Red,Mod,1796,,1821,5,3,3,1,5,2,,,
Benjamin Franklin,72.5,PA,Red,Mod,1732,,1790,1,2,2,0,0,3,,,
Henry Clay,56.5,KY,Blue,Mod,1804,,1852,0,4,0,0,0,1,1824,,
George Washington,52.5,VA,Red,Mod,1760,,1799,1,2,0,0,3,0,,,
Theodore Roosevelt,49.5,NY,Red,Lib,1884,,1919,0,1,1,0,1,1,,,
John Marshall,49.5,VA,Red,Cons,1780,,1835,0,1,0,3,1,2,,,
John Quincy Adams,49.5,MA,Red,Lib,1792,,1848,0,1,1,1,0,3,1808,1824,
Andrew Jackson,46.5,TN,Blue,RW Pop,1792,1836,1845,0,1,1,1,2,1,,,
Daniel Webster,44.5,NH,Red,Cons,1808,,1852,0,3,0,0,0,1,,,
James G Blaine,43.5,ME,Red,Mod,1856,,1893,0,2,0,0,0,2,,,
Thomas Jefferson,43,VA,Blue,RW Pop,1768,1808,1826,0,2,1,0,0,3,,,
William H Seward,43,NY,Red,Lib,1828,,1872,0,2,2,0,0,2,,,
Lyndon B Johnson,41,TX,Blue,Mod,1936,1968,1973,0,3,0,0,1,0,,,
Benjamin Tillman,40.5,SC,Blue,Trad,1872,,1918,0,2,1,0,0,0,,,
John Jay,40.5,NY,Red,Mod,1772,1800,1829,0,2,2,3,0,3,,,
Stephen A Douglas,40.5,IL,Blue,Mod,1840,,1861,0,2,0,1,0,0,,,
Alexander Hamilton,40,NY,Red,Cons,1784,,1804,0,1,0,1,2,4,,,
Salmon P Chase,39.5,OH,Blue,Lib,1836,,1873,0,1,1,3,0,2,1856,1868,
Franklin D Roosevelt,39.5,NY,Blue,Lib,1908,,1945,0,1,1,0,0,1,,,
Abraham Lincoln,39,IL,Red,Mod,1836,,1865,0,1,0,0,0,0,,,
Charles Evans Hughes,39,NY,Red,Mod,1888,,1948,0,0,1,3,0,1,,,
Robert F Kennedy,39,NY,Blue,Lib,1952,,1968,0,1,0,0,0,2,,,
Winston Churchill,38.5,NY,Red,Cons,1900,,1965,0,1,1,0,1,1,,,
John C Calhoun,38,SC,Blue,Cons,1808,,1850,0,3,0,0,0,2,,,
Earl Warren,38,CA,Red,Lib,1916,1972,1974,0,0,3,3,0,1,,,
Ronald Reagan,37,CA,Blue,Cons,1936,1988,2004,0,0,2,0,1,0,1964,,
Martin Luther King Jr,37,GA,Red,Lib,1956,,1968,0,0,0,0,0,1,1960,,
Richard Russell Jr,35.5,GA,Blue,Trad,1924,,1971,0,3,1,0,0,0,,,
James Madison,35.5,VA,Blue,Cons,1776,1816,1836,0,3,0,1,0,2,,,
Lewis Cass,35,OH,Blue,Cons,1808,1860,1866,0,1,2,0,2,2,,,
John J Crittenden,34.5,KY,Blue,Mod,1812,,1863,0,2,1,1,0,2,1824,,
Langdon Cheves,34,SC,Blue,Trad,1804,1836,1857,0,2,0,1,0,1,,,
Elliot Richardson,34,MA,Red,Mod,1948,1988,1999,0,1,0,0,1,3,,,
William H Crawford,33.5,GA,Blue,Cons,1800,,1834,0,2,0,1,0,3,,,
Carter Glass,33.5,VA,Blue,RW Pop,1884,,1946,0,2,1,0,0,1,,,
Adlai E Stevenson II,33.5,IL,Blue,Mod,1928,,1965,0,1,1,0,0,2,,,
Mario Cuomo,33.5,NY,Blue,Lib,1960,1996,2015,0,0,3,1,0,1,,,
Elihu Root,33,NY,Red,Cons,1872,1920,1937,0,1,0,0,0,3,,,
Robert F Wagner,33,NY,Blue,Lib,1904,,1953,0,3,1,0,0,0,,,
Nelson Rockefeller,32,NY,Red,Lib,1936,,1979,0,0,3,0,0,1,,,
Newt Gingrich,32,GA,Red,Trad,1968,2020,,0,3,0,0,0,1,,,
George Clinton,32,NY,Blue,Mod,1764,,1812,0,1,3,0,1,0,,,
Roger Sherman,32,CT,Red,Mod,1748,,1793,0,3,1,0,0,0,,,
Henry Laurens,32,SC,Red,Trad,1752,,1792,1,2,1,0,0,2,,,
Thomas Brackett Reed,32,ME,Red,Mod,1864,1900,1902,0,2,0,0,0,1,,,
Josephus Daniels,32,NC,Blue,RW Pop,1888,,1948,0,0,0,0,0,2,,,
Woodrow Wilson,31.5,NJ,Blue,Lib,1884,1924,1924,0,0,1,0,0,0,,,
Patrick Henry,31.5,VA,Blue,Trad,1764,,1799,0,2,3,0,0,0,1796,,
Joseph McCarthy,31,WI,Red,RW Pop,1936,,1952,0,1,0,1,1,0,,,
Henry Cabot Lodge Sr,31,MA,Red,Cons,1876,,1924,0,2,0,0,0,0,,,
Burton K Wheeler,31,MT,Blue,Prog,1908,1952,1975,0,2,1,0,0,0,,,
Tom Cotton,31,AR,Red,Trad,2004,,,0,2,0,1,1,0,,,
Charles Sumner,30.5,MA,Red,Lib,1836,,1874,0,2,0,0,0,0,,,
Herman Talmadge,30.5,GA,Blue,Trad,1940,1980,2002,0,2,2,0,1,0,,,
Boris Johnson,30.5,NY,Red,RW Pop,1992,,,0,1,1,0,0,1,,,
Robert Taft,30.5,OH,Red,Cons,1916,,1953,0,3,0,0,0,0,,,
DeWitt Clinton,30.5,NY,Blue,Lib,1796,,1828,0,1,3,0,0,0,,,
Benjamin Wade,30.5,OH,Red,Prog,1828,,1878,0,2,0,1,0,0,,,
Joseph Story,30,MA,Blue,Cons,1804,,1845,0,1,0,3,0,0,1824,,
Robert La Follette,30,WI,Red,Prog,1880,,1925,0,3,1,0,0,0,,,
Fiorella La Guardia,30,NY,Red,Lib,1908,,1947,0,1,1,0,1,1,,,
Barack Obama,30,IL,Blue,Lib,1988,2016,,0,1,0,1,0,1,,,
Aaron Burr,29.5,NY,Blue,Lib,1784,1808,1836,0,2,1,0,2,1,,,
Carl Schurz,29.5,MO,Red,Lib,1856,,1906,0,1,0,0,2,1,1872,,
Elizabeth Warren,29.5,NJ,Red,Prog,1976,,,0,2,0,0,0,1,1996,,
John Rutledge,29,SC,Red,Cons,1764,,1800,0,2,2,3,0,0,,,
Roscoe Conkling,29,NY,Red,Mod,1856,,1888,0,2,1,1,0,0,,,
Henry L. Stimson,29,CA,Red,Mod,1892,1948,1950,0,0,1,0,1,3,,,
Thaddeus Stevens,28.5,PA,Red,Prog,1820,,1868,0,1,0,1,0,0,,,
Donald Rumsfeld,28.5,IL,Red,Cons,1960,2008,2021,0,1,0,0,1,3,,,
William L Marcy,28.5,NY,Blue,Cons,1812,,1857,0,1,2,0,1,2,,,
Joseph B Foraker,28.5,OH,Red,Cons,1872,,1917,0,1,1,1,1,0,,,
Albert Ritchie,28.5,MD,Blue,Cons,1904,,1936,0,0,3,0,0,1,,,
Mitch McConnell,28.5,KY,Red,Cons,1968,,,0,3,0,1,0,1,,,
Albert Gallatin,28,PA,Blue,Mod,1788,1828,1849,0,1,0,0,0,3,,,
Joseph T Robinson,28,AR,Blue,Lib,1900,,1937,0,2,1,0,0,0,,,
Ted Cruz,28,TX,Red,Trad,1996,,,0,2,0,1,0,1,,,
Dwight D Eisenhower,27.5,KS,Red,Mod,1916,1960,1969,0,0,1,0,3,1,,,
Benjamin Lincoln,27.5,MA,Red,Cons,1760,1792,1810,0,1,2,0,3,3,,,
John Adams,27.5,MA,Red,Mod,1760,1800,1826,0,2,0,2,0,2,,,
Cordell Hull,27.5,TN,Blue,Mod,1896,1948,1955,0,1,0,1,1,3,,,
John Foster Dulles,27.5,NY,Red,Mod,1916,,1959,0,1,0,0,1,2,,,
Edmund Muskie,27.5,ME,Blue,Lib,1940,1984,1996,0,2,1,0,1,1,,,
Lindsey Graham,27.5,SC,Red,Cons,1980,,,0,2,0,1,1,1,,,
